loss,reconstruction_loss,vqvae_loss
0.03378915786743164,0.024723121896386147,0.009066019207239151
0.020006073638796806,0.01305088959634304,0.006955176126211882
0.019725557416677475,0.01210124883800745,0.007624310906976461
0.019682833924889565,0.011824175715446472,0.007858676835894585
0.019700290635228157,0.01165232714265585,0.008047973737120628
0.019668985158205032,0.01150424312800169,0.008164738304913044
0.019685551524162292,0.011408167891204357,0.008277379907667637
0.019627565518021584,0.011273790150880814,0.00835377350449562
0.019549187272787094,0.011167206801474094,0.008381980471313
0.01951119862496853,0.011071995832026005,0.008439209312200546
0.019466109573841095,0.01099525485187769,0.008470848202705383
0.019435571506619453,0.010931060649454594,0.00850450899451971
0.019389327615499496,0.01085982471704483,0.008529484272003174
0.019353091716766357,0.01079913042485714,0.008553952910006046
0.019310137256979942,0.010744861327111721,0.008565298281610012
