loss,reconstruction_loss,vqvae_loss
0.23139844834804535,0.0519009605050087,0.17949751019477844
0.0401778444647789,0.024380359798669815,0.015797486528754234
0.01802714914083481,0.014434662647545338,0.003592488821595907
0.01543514709919691,0.010478981770575047,0.004956162068992853
0.012805071659386158,0.007459725718945265,0.005345351528376341
0.0122241685166955,0.006816088687628508,0.005408079829066992
0.011889650486409664,0.006377857178449631,0.00551179563626647
0.01178559847176075,0.006178695242851973,0.005606896709650755
0.011750747449696064,0.006065537687391043,0.005685210693627596
0.01168779842555523,0.005956059787422419,0.005731742829084396
0.01169310137629509,0.005878388416022062,0.005814710631966591
0.011651785112917423,0.005761494394391775,0.005890289321541786
0.011677089147269726,0.0057337102480232716,0.005943375639617443
0.011625751852989197,0.0056584859266877174,0.00596727104857564
0.01153847761452198,0.0055453358218073845,0.005993141792714596
