loss,reconstruction_loss,vqvae_loss
0.09917888790369034,0.05032934993505478,0.04884958639740944
0.020368285477161407,0.016441628336906433,0.003926659934222698
0.014695215038955212,0.011114051565527916,0.003581160446628928
0.013552436605095863,0.008075091987848282,0.005477342754602432
0.013323191553354263,0.007276102434843779,0.006047094706445932
0.012861938215792179,0.006816041190177202,0.00604588445276022
0.01246269978582859,0.006448640953749418,0.006014062091708183
0.012234627269208431,0.006210688501596451,0.0060239387676119804
0.011839647777378559,0.0059796483255922794,0.005859998986124992
0.011642196215689182,0.005856139585375786,0.005786056164652109
0.01148347556591034,0.005771322175860405,0.005712149199098349
0.011389883235096931,0.005648307967931032,0.005741570610553026
0.011478184722363949,0.0056922524236142635,0.005785930436104536
0.011262485757470131,0.0054773022420704365,0.0057851835153996944
0.011324016377329826,0.005478457547724247,0.005845558829605579
